feature_id	feature_family	n_expression_units	n_study_families	median_coverage	leave_family_out_median_spearman	leave_family_out_ci_low	leave_family_out_ci_high	matched_null_ci_high	observed_coherence_ci_low	matched_null_permutation_high	observed_coherence_stability_low	technical_status	D2_class	D2_reason	n_patient_timepoints_x	abundance_equal_state_spearman	carrier_dependency_status	n_matched_contexts	n_ambient_units	n_reference_units	ambient_minus_other_median_native	ambient_minus_other_median_z	ambient_metric_scale	ambient_interpretation	ambient_status	n_patient_timepoints_y	n_cohorts	n_platforms	cohort_eta_squared	cohort_status	platform_eta_squared	platform_status	tissue_eta_squared_context_only	library_size_spearman	n_cells_spearman	residualization	status	method_agreement_median_spearman	method_agreement_ci_low	method_agreement_ci_high	method_agreement_status	technical_panel_median_spearman	technical_panel_ci_low	technical_panel_ci_high	n_technical_panel_comparisons	n_negative_technical_panel_comparisons	technical_panel_status	n_components	n_measurable_components	evidence_modality	D2_scope
axis__caf_ecm	mechanism_axis	32821	39	1.0								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		3.0	0.0	scRNA	scRNA_measurement_only
axis__cytotoxic_t_nk	mechanism_axis	32821	39	1.0								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		3.0	2.0	scRNA	scRNA_measurement_only
axis__exhaustion	mechanism_axis	32821	39	1.0								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		3.0	0.0	scRNA	scRNA_measurement_only
axis__hypoxia	mechanism_axis	32821	39	1.0								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		2.0	0.0	scRNA	scRNA_measurement_only
axis__neutrophil_tan_net	mechanism_axis	32821	39	0.9947698744769875								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		2.0	1.0	scRNA	scRNA_measurement_only
axis__suppressive_myeloid	mechanism_axis	32821	39	1.0								valid	measurable	all_explicit_components_measurable																																		1.0	1.0	scRNA	scRNA_measurement_only
axis__tls_b	mechanism_axis	32821	39	0.8300653594771241								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		2.0	0.0	scRNA	scRNA_measurement_only
axis__wnt_beta_catenin	mechanism_axis	32821	39	1.0								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		3.0	0.0	scRNA	scRNA_measurement_only
mechanism__angiogenesis_endothelial__curated_angiogenesis	mechanism_component	32821	39	1.0	0.8156204654408697	0.680672352067926	0.8702520359694378	0.7412216462006932	0.5379499751456934	0.7412216462006932	0.5379499751456934	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.7766713472213832	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.11583014074079045		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.7242980828940263	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.07062310911582555	0.33936039452914135	0.3043895929063965	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8493050376541667	0.7856647807643068	0.863612989573922	PASS	0.7884012358074515	0.5766414101381919	0.8801623418708726	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	mechanism_component	32821	39	1.0	0.8095238095238096	0.7243510728149811	0.8726823505245336	0.9080935302781464	0.7816623976457799	0.9080935302781464	0.7816623976457799	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8654327515218326	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	0.041288460089605517		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.7672007655568847	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.09258192587715382	0.3009370043106968	0.2985369999911156	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.8379552269208084	0.7754772134469139	0.900302848603436	PASS	0.7947052825175143	0.7426506525848221	0.8599058904243301	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
