input_id	normalized_id	resolved_symbol	mapping_source	mapping_status	candidates	n_objects	n_cohorts
ENSG00000227471.9	ENSG00000227471	AKR1B15	gencode_v49	resolved	AKR1B15	1	1
ENSG00000227474.1	ENSG00000227474	RPL6P24	gencode_v49	resolved	RPL6P24	1	1
ENSG00000227475	ENSG00000227475	ENSG00000227475	gencode_v49	resolved	ENSG00000227475	0	0
ENSG00000227477	ENSG00000227477	STK4-DT	gencode_v49	resolved	STK4-DT	0	0
ENSG00000227479	ENSG00000227479	ENSG00000227479	gencode_v49	resolved	ENSG00000227479	0	0
ENSG00000227480	ENSG00000227480	CCDC148-AS1	gencode_v49	resolved	CCDC148-AS1	0	0
ENSG00000227481	ENSG00000227481	ENSG00000227481	gencode_v49	resolved	ENSG00000227481	0	0
ENSG00000227482	ENSG00000227482	ENSG00000227482	gencode_v49	resolved	ENSG00000227482	0	0
ENSG00000227484	ENSG00000227484	ENSG00000227484	gencode_v49	resolved	ENSG00000227484	0	0
ENSG00000227485	ENSG00000227485	ENSG00000227485	gencode_v49	resolved	ENSG00000227485	0	0
ENSG00000227486	ENSG00000227486	ENSG00000227486	gencode_v49	resolved	ENSG00000227486	0	0
ENSG00000227487	ENSG00000227487	NCAM1-AS1	gencode_v49	resolved	NCAM1-AS1	0	0
ENSG00000227488	ENSG00000227488	GAGE12D	gencode_v49	resolved	GAGE12D	0	0
ENSG00000227489	ENSG00000227489	ENSG00000227489	gencode_v49	resolved	ENSG00000227489	0	0
ENSG00000227492	ENSG00000227492	CHUK-DT	gencode_v49	resolved	CHUK-DT	0	0
ENSG00000227495	ENSG00000227495	KIF1C-AS1	gencode_v49	resolved	KIF1C-AS1	0	0
ENSG00000227496	ENSG00000227496	ENSG00000227496	gencode_v49	resolved	ENSG00000227496	0	0
ENSG00000227497.1	ENSG00000227497	PABPC1P6	gencode_v49	resolved	PABPC1P6	1	1
ENSG00000227498	ENSG00000227498	ENSG00000227498	gencode_v49	resolved	ENSG00000227498	0	0
ENSG00000227500	ENSG00000227500	SCAMP4	gencode_v49	resolved	SCAMP4	0	0
ENSG00000227500.10	ENSG00000227500	SCAMP4	gencode_v49	resolved	SCAMP4	1	1
ENSG00000227502	ENSG00000227502	MROCKI	gencode_v49	resolved	MROCKI	0	0
ENSG00000227505.1	ENSG00000227505	SLIRPP1	gencode_v49	resolved	SLIRPP1	1	1
ENSG00000227507	ENSG00000227507	LTB	gencode_v49	resolved	LTB	0	0
ENSG00000227507.2	ENSG00000227507	LTB	gencode_v49	resolved	LTB	1	1
ENSG00000227508	ENSG00000227508	LINC01624	gencode_v49	resolved	LINC01624	0	0
ENSG00000227509	ENSG00000227509	LINC01839	gencode_v49	resolved	LINC01839	0	0
ENSG00000227510	ENSG00000227510	LINC01442	gencode_v49	resolved	LINC01442	0	0
ENSG00000227512	ENSG00000227512	ENSG00000227512	gencode_v49	resolved	ENSG00000227512	0	0
ENSG00000227516	ENSG00000227516	ENSG00000227516	gencode_v49	resolved	ENSG00000227516	0	0
ENSG00000227517	ENSG00000227517	LINC01483	gencode_v49	resolved	LINC01483	0	0
ENSG00000227518	ENSG00000227518	MIR1302-9HG	gencode_v49	resolved	MIR1302-9HG	0	0
ENSG00000227519	ENSG00000227519	ENSG00000227519	gencode_v49	resolved	ENSG00000227519	0	0
ENSG00000227525.4	ENSG00000227525	RPL7P6	gencode_v49	resolved	RPL7P6	1	1
ENSG00000227527	ENSG00000227527	ENSG00000227527	gencode_v49	resolved	ENSG00000227527	0	0
ENSG00000227528	ENSG00000227528	DIAPH3-AS1	gencode_v49	resolved	DIAPH3-AS1	0	0
ENSG00000227531	ENSG00000227531	ENSG00000227531	gencode_v49	resolved	ENSG00000227531	0	0
ENSG00000227533	ENSG00000227533	SLC2A1-DT	gencode_v49	resolved	SLC2A1-DT	0	0
ENSG00000227535	ENSG00000227535	ENSG00000227535	gencode_v49	resolved	ENSG00000227535	0	0
ENSG00000227542	ENSG00000227542	MYO1B-AS1	gencode_v49	resolved	MYO1B-AS1	0	0
ENSG00000227543	ENSG00000227543	SPAG5-AS1	gencode_v49	resolved	SPAG5-AS1	0	0
ENSG00000227544	ENSG00000227544	LINC03013	gencode_v49	resolved	LINC03013	0	0
ENSG00000227547.3	ENSG00000227547	OR4A2P	gencode_v49	resolved	OR4A2P	1	1
ENSG00000227549	ENSG00000227549	ENSG00000227549	gencode_v49	resolved	ENSG00000227549	0	0
ENSG00000227550	ENSG00000227550	TRBV7-5	gencode_v49	resolved	TRBV7-5	0	0
ENSG00000227551	ENSG00000227551	USP17L12	gencode_v49	resolved	USP17L12	0	0
ENSG00000227554	ENSG00000227554	ENSG00000227554	gencode_v49	resolved	ENSG00000227554	0	0
ENSG00000227555	ENSG00000227555	MIR4290HG	gencode_v49	resolved	MIR4290HG	0	0
ENSG00000227560.1	ENSG00000227560	RPS15AP30	gencode_v49	resolved	RPS15AP30	1	1
ENSG00000227562	ENSG00000227562	ENSG00000227562	gencode_v49	resolved	ENSG00000227562	0	0
ENSG00000227564	ENSG00000227564	LINC00376	gencode_v49	resolved	LINC00376	0	0
ENSG00000227574	ENSG00000227574	ENSG00000227574	gencode_v49	resolved	ENSG00000227574	0	0
ENSG00000227578.1	ENSG00000227578	RPS3AP53	gencode_v49	resolved	RPS3AP53	1	1
ENSG00000227579	ENSG00000227579	ENSG00000227579	gencode_v49	resolved	ENSG00000227579	0	0
ENSG00000227581.2	ENSG00000227581	STAU2P1	gencode_v49	resolved	STAU2P1	1	1
ENSG00000227582.2	ENSG00000227582	ADGRF5P1	gencode_v49	resolved	ADGRF5P1	1	1
ENSG00000227583.1	ENSG00000227583	RPS3AP37	gencode_v49	resolved	RPS3AP37	1	1
ENSG00000227586.5	ENSG00000227586	RPS26P39	gencode_v49	resolved	RPS26P39	1	1
ENSG00000227588	ENSG00000227588	CNTN4-AS2	gencode_v49	resolved	CNTN4-AS2	0	0
