feature_id	heldout_study_family	n_shared_states	state_profile_spearman	diagnostic_status
FM04	mendeley_skrx2fz79n	4	0.7378647873726218	PASS
FM05	GSE115978	23	0.7795354387880313	PASS
FM05	GSE123813	23	0.9594861660079053	PASS
FM05	GSE140228	21	0.6974025974025975	PASS
FM05	GSE149614	10	0.9757575757575757	PASS
FM05	GSE151530	23	0.9515572096810149	PASS
FM05	GSE161801	8	0.8095238095238096	PASS
FM05	GSE169246	23	0.5190312052805536	PASS
FM05	GSE176021	13	0.8736263736263737	PASS
FM05	GSE179994	4	-0.39999999999999997	PASS
FM05	GSE189903	23	0.7869501702920393	PASS
FM05	GSE200996	3	0.5	PASS
FM05	GSE205506	23	0.8225408815112774	PASS
FM05	GSE206325	8	0.5714285714285715	PASS
FM05	GSE207422_sc	8	0.9047619047619048	PASS
FM05	GSE225063	8	0.6666666666666669	PASS
FM05	GSE232240	13	0.8516483516483516	PASS
FM05	GSE235863_5pt_cd8	2		NOT_TESTABLE
FM05	GSE235863_9pt_cd45	17	0.8553921568627452	PASS
FM05	GSE243013	15	0.914285714285714	PASS
FM05	GSE246613	10	0.8666666666666665	PASS
FM05	GSE249974	23	0.46861103105329976	PASS
FM05	GSE266919	18	0.9009287925696594	PASS
FM05	GSE272734	2		NOT_TESTABLE
FM05	GSE272735	8	0.3571428571428572	PASS
FM05	GSE272993	8	0.7619047619047621	PASS
FM05	GSE273718	8	0.7619047619047621	PASS
FM05	GSE284205	23	0.7587741905768093	PASS
FM05	GSE286827	23	0.9406822701418032	PASS
FM05	GSE288199	8	0.7857142857142858	PASS
FM05	GSE301741	13	0.9835164835164836	PASS
FM05	LAMBRECHT_BRCA	20	0.9748026262890159	PASS
FM05	LAMBRECHT_HCC	23	0.8141375191400682	PASS
FM05	PRJCA001063	14	0.7846153846153847	PASS
FM05	TASK01	23	0.917943760196179	PASS
FM05	TASK02	23	0.9298073306025916	PASS
FM05	bi_2021_rcc	17	0.8667909112658448	PASS
FM05	krishna_2021_rcc	8	0.7857142857142858	PASS
FM05	lambrecht_hnscc	23	0.9239130434782609	PASS
FM05	mendeley_skrx2fz79n	4	0.9486832980505139	PASS
FM06	GSE115978	23	0.8166090963080709	PASS
FM06	GSE123813	23	0.9456521739130436	PASS
FM06	GSE140228	21	0.8766233766233766	PASS
FM06	GSE149614	10	0.9207488243118473	PASS
FM06	GSE151530	23	0.9223925990985838	PASS
FM06	GSE161801	8	0.28571428571428575	PASS
FM06	GSE169246	23	0.8368760290856925	PASS
FM06	GSE176021	13	0.6923076923076923	PASS
FM06	GSE179994	4	0.7999999999999999	PASS
FM06	GSE189903	23	0.9050915589225652	PASS
FM06	GSE200996	3	-0.5	PASS
FM06	GSE205506	23	0.8531884383945099	PASS
FM06	GSE206325	8	0.9761904761904763	PASS
FM06	GSE207422_sc	8	0.9761904761904763	PASS
FM06	GSE225063	8	0.14285714285714288	PASS
FM06	GSE232240	13	0.6593406593406593	PASS
FM06	GSE235863_5pt_cd8	2		NOT_TESTABLE
FM06	GSE235863_9pt_cd45	17	0.8651960784313727	PASS
FM06	GSE243013	15	0.807142857142857	PASS
FM06	GSE246613	10	0.9999999999999999	PASS
FM06	GSE249974	23	0.8497282303593062	PASS
FM06	GSE266919	18	0.8782249742002064	PASS
FM06	GSE272734	2		NOT_TESTABLE
FM06	GSE272735	8	0.4761904761904762	PASS
FM06	GSE272993	8	0.1666666666666667	PASS
