feature_id	n_patient_timepoints	n_cohorts	n_platforms	cohort_eta_squared	cohort_status	platform_eta_squared	platform_status	tissue_eta_squared_context_only	library_size_spearman	n_cells_spearman	residualization	status
mechanism__exhaustion__sentinel_terminal_exhaustion	1876	44	1	0.5437827570077003	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.19485478804076545	0.25054555979887216	0.2542648058484872	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__hypoxia__curated_hypoxia	1876	44	1	0.4760071435619911	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08660440166739315	0.3432264778118055	0.31711636813622246	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__hypoxia__hallmark_hypoxia	1876	44	1	0.6355308264450275	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.09100780858452882	0.4435304686581351	0.42466612830874306	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	1876	44	1	0.6258687910106109	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.07192428783664298	0.45824723176828264	0.4596287371094957	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	1876	44	1	0.7194749409580772	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.22007130108164663	0.2989738094358899	0.32636953285488457	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__suppressive_myeloid__curated_myeloid_suppression	1876	44	1	0.6336181186196612	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.3655688690569302	0.015293465356731347	-0.023700940214641017	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__tls_b__reactome_bcr	1876	44	1	0.8095339760448907	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.10152043594353982	0.42774322562514916	0.4421399541996275	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__tls_b__sentinel_tls_b	1876	44	1	0.6095844791653023	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.07606985283948137	0.3574477532195594	0.38499507166197683	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	1876	44	1	0.5220898002399428	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.04003596240226893	0.5066138011660702	0.4898902860947809	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__wnt_beta_catenin__reactome_wnt	1876	44	1	0.475731497224559	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08594978774770665	0.4491342726175403	0.46250344781217023	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	1876	44	1	0.601752347080582	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.06771318497639643	0.3985060682410725	0.38599252109567395	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
