feature_id	score_standardized	coverage	technical_status	patient_id	pair_id	modality	match_status	bridge_role	sc_timepoint	bulk_timepoint
FM03	0.7792086555603394	0.9863008045234009	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM03	-2.933826295010336	0.995549423805165	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM04	-2.8730578004436884	0.9832873864084688	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM04	0.5888221574840117	0.9923088759068495	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM05	0.910599691154878	0.9771386352241985	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM05	-2.5736213044173404	0.9896554534128976	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM06	-0.941111618618505	0.7902585387426505	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM06	-3.3999076393157788	0.952140977117625	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM07	-1.602492253268054	0.9951794005217456	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM07	-0.6115531811462136	0.872438483518863	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM08	1.3497851738671216	0.9658477087662072	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
FM08	-2.3409280051913997	0.9646975968797881	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__angiogenesis_endothelial__curated_angiogenesis	-2.1615431703028216	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__angiogenesis_endothelial__curated_angiogenesis	0.6744907594765952	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	-2.5270007398129057	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	1.3923076444943656	0.9166666666666666	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__angiogenesis_endothelial__reactome_vegf	-0.6472597042986008	0.9905660377358491	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__angiogenesis_endothelial__reactome_vegf	0.0	0.9716981132075472	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_antigen_presentation	0.6828567085470477	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_antigen_presentation	-2.2113516047550594	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_apc_dc_activation	1.4046135212135735	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_apc_dc_activation	-1.7142606466267487	1.0	valid	P07	P07	scRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_ifn_response	1.010467548336209	1.0	valid	P07	P07	bulkRNA	timepoint_mismatch	support_only	post_treatment	pre_treatment
