cohort_id	feature_id	statistic	n_patients	ci_low	ci_high	status
HTAN_VANDERBILT_CRC	FM05	moran	3	0.6568163694596615	0.7936290990532262	ESTIMABLE
HTAN_VANDERBILT_CRC	FM06	moran	3	0.4379999392805581	0.6946347923792281	ESTIMABLE
HTAN_VANDERBILT_CRC	FM07	moran	3	0.5948265902860725	0.7645103110339545	ESTIMABLE
HTAN_VANDERBILT_CRC	FM08	moran	3	0.6937303518607036	0.8165529896070645	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__angiogenesis_endothelial__curated_angiogenesis	moran	3	0.2682184365700207	0.3221368864811448	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	moran	3	0.5815333663783255	0.6754814909416201	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__angiogenesis_endothelial__reactome_vegf	moran	3	0.7920066687327681	0.8640887886568992	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__curated_antigen_presentation	moran	3	0.37146151725092497	0.7366563472554519	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__curated_apc_dc_activation	moran	3	0.07566030147698848	0.33254723017137583	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__curated_ifn_response	moran	3	0.04090784536092784	0.22056316834972148	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__hallmark_ifn_alpha	moran	3	0.8361158814182822	0.8538446944274639	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__hallmark_ifn_gamma	moran	3	0.8433115971498687	0.8666190605283587	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	moran	3	0.8090911676181131	0.8400405532552394	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__reactome_ifn_gamma	moran	3	0.7942704385579941	0.8347525399660408	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__reactome_mhc_i	moran	3	0.8485791124891625	0.909159917333615	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__apc_ifn_apm__reactome_mhc_ii	moran	3	0.8118869706136648	0.8652805320386082	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__caf_ecm__curated_stromal_tgfb	moran	3	0.40234794572265936	0.681522131148952	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__caf_ecm__hallmark_emt	moran	3	0.6949068168170308	0.8644531498058458	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__caf_ecm__reactome_ecm	moran	3	0.7530205802594342	0.8706574736734588	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__cytotoxic_t_nk__curated_cytotoxicity	moran	3	0.17416648068413346	0.5312473618307594	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	moran	3	0.18663333290655335	0.5412313232394264	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	moran	3	0.8044174005141794	0.8260652874559554	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__exhaustion__curated_broad_exhaustion	moran	3	0.10546754002383711	0.14035683200403654	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__exhaustion__sentinel_progenitor_exhaustion	moran	3	0.07964007360357733	0.35486235427712115	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__exhaustion__sentinel_terminal_exhaustion	moran	3	0.07010393300785578	0.5208181205955983	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__hypoxia__curated_hypoxia	moran	3	0.5027351960315932	0.549270645648349	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__hypoxia__hallmark_hypoxia	moran	3	0.7543169035053695	0.8715771494437655	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	moran	3	0.8474341975693646	0.9197326883960576	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__neutrophil_tan_net__sentinel_neutrophil_net	moran	3	0.1685054324505814	0.5251419775677034	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__suppressive_myeloid__curated_myeloid_suppression	moran	3	0.06538890398075406	0.42788277480562903	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__tls_b__reactome_bcr	moran	3	0.8151769488879917	0.8602812794600626	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__tls_b__sentinel_tls_b	moran	3	0.2887997240080474	0.498730086472539	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	moran	3	0.6900599825294567	0.791256873507853	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__wnt_beta_catenin__reactome_wnt	moran	3	0.8346730923121656	0.8921208699868765	ESTIMABLE
HTAN_VANDERBILT_CRC	mechanism__wnt_beta_catenin__sentinel_tumor_wnt	moran	3	0.41587784156231883	0.6057718457666172	ESTIMABLE
