group,is_load,is_preqc,id,resource,data_type,protocal,data_format,only_normd,celltype,organ,tissue,disease,num_patient,num_cell,loc_or_mta,treatment,prior_treatment,timepoint,tp_paired,has_os_pfs,has_outcome,is_annoed,if_qc,num_perturb_target,citiation,
combo,,,GSE235863,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235863,bulkRNA,,txt,F,whole,liver,tumor,hcc,15,none,loc,PD1+TKI,none,post,none,none,mRECIST,none,,,https://www.cell.com/cancer-cell/fulltext/S1535-6108(25)00019-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1535610825000194%3Fshowall%3Dtrue,miss TCR and ADT
combo,,,GSE288199,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288199,scRNA,10x,txt,F,CD45+CD3+,head_neck,tumor,hnscc,35,372k,loc,PD1/PD1+CTLA4/PD1+LAG3,none,pre/post,paired,plot,RECIST,none,,,https://www.cell.com/cancer-cell/fulltext/S1535-6108(25)00078-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1535610825000789%3Fshowall%3Dtrue,
combo,,,krishna_2021_rcc,https://trace.ncbi.nlm.nih.gov/Traces/index.html?view=analysis&acc=SRZ190804,scRNA/scTCR,10x,rds,F,whole,kidney,tumor,rcc,6,167k,loc,PD1/PD1+CTLA4,none,pre/post,unpaired,none,Patho,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8268947/#S9,
imm,,,checkmate,https://pubmed.ncbi.nlm.nih.gov/32472114/,bulkRNA,,xlsx,T,whole,kidney,tumor/pbmc,rcc,311,none,loc/meta,PD1/Everolimus ,anti-angio/non,pre,none,os/pfs,CB/ICB/NCB,none,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7499153/#S8,
combo,y,n,GSE115821,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115821,bulkRNA,,txt,F,whole,skin,tumor,melanoma,37,none,loc/meta,PD1/CTLA4/PD1+CTLA4,none,pre/post,paired,none,RECIST,none,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6693632/#SD1,
combo,y,n,GSE115978,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115978,scRNA,ss2,txt,F,whole,skin,tumor,melanoma,33,7k,loc,PD1+CTLA4/CTLA4,none,pre/post,unpaired,none,none,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6410377/#SM1,
combo,y,n,GSE120575,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120575,scRNA,ss2,txt,T,CD45+,skin,tumor,melanoma,48,16k,loc,PD1/CTLA4/PD1+CTLA4,none,pre/post,paired,none,RECIST,F,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6641984/,
imm,,,GSE140228,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140228,scRNA,10x/ss2,txt,F,CD45+,liver,tumor/adj/ln/pbmc/ascites,hcc,16,77k,loc,none,none,pre,none,none,none,T,,,https://www.cell.com/cell/fulltext/S0092-8674(19)31119-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867419311195%3Fshowall%3Dtrue,
imm,,,GSE123813,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123813,scRNA/scTCR,10x,txt,F,whole,unknown,tumor,bcc,11,53K,loc,PD1,chemo/radio,pre/post,paired,none,RECIST,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6689255/,
imm,,,GSE123813,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123813,scRNA/scTCR,10x,txt,F,whole,unknown,tumor,scc,4,26K,loc,PD1,chemo/radio,pre/post,paired,none,RECIST,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6689255/,
